Marque,Modèle,Prix (€),Année,Boîte,KM,Énergie,Code Postal,Département
Aston,Martin Vantage GT12 - 1of1 Geneva Motor Show - Perfect,,11/2017,"Couleur extérieure: Blanc, Nombre de portes: 2/3",444 kW (604 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Mercedes-Benz,AMG GT Black Series - Track Pack - Carbon Pack,,12/2021,"Couleur extérieure: Gris, Nombre de portes: 2/3",537 kW (730 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Lamborghini,Huracán STO*Racing*VAT*French Tax Included,,09/2021,"Couleur extérieure: Noir, Nombre de portes: 2/3",471 kW (640 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Lamborghini,Huracan STO*Lift*Telemetry,,09/2021,"Couleur extérieure: Bleu, Nombre de portes: 2/3",471 kW (640 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Mercedes-Benz,AMG GT COUPE R SPEEDSHIFT DCT BLACK SERIES,,12/2021,"Couleur extérieure: Gris, Nombre de portes: 2/3",537 kW (730 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Lamborghini,Urus 4.0 V8 Performante,,06/2024,"Couleur extérieure: Noir, Nombre de portes: 4/5",490 kW (666 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
Porsche,992 GT3 RS,,12/2023,"Couleur extérieure: Gris, Nombre de portes: 2/3",386 kW (525 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Ferrari,SF90 Stradale - Lift - Carbon - Camera - Carplay,,02/2021,Couleur extérieure: Rouge,735 kW (999 Ch DIN),"Coupé Sport, Hybride (essence/électricité), Boîte automatique",,
Aston,Martin DBX 4.0 V8 DBX707,,03/2023,"Couleur extérieure: Gris, Nombre de portes: 4/5",520 kW (707 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
Ferrari,296 GTS 3.0 TURBO V6 HYBRIDE 830 CH,,09/2024,"Couleur extérieure: Bleu, Nombre de portes: 2/3",488 kW (663 Ch DIN),"Cabriolet / Roadster, Autre, Boîte manuelle",,
Ferrari,296 GTS*CarbonLeds*Lift*Ventilated,,06/2023,"Couleur extérieure: Rouge, Nombre de portes: 2/3",610 kW (829 Ch DIN),"Cabriolet / Roadster, Hybride (essence/électricité), Boîte automatique",,
Ferrari,458 Speciale - Lift - Cage - Harness - Carbon,,11/2014,"Couleur extérieure: Bleu, Nombre de portes: 2/3",445 kW (605 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,992 GT3 RS - Weissach - Lift - PCCB - Magnésium,,11/2023,"Couleur extérieure: Gris, Nombre de portes: 2/3",386 kW (525 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Ferrari,296 GTS*2nd Hand*Lift*Carbon LED*JBL*Carplay,,06/2023,"Couleur extérieure: Jaune, Nombre de portes: 2/3",610 kW (829 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Lamborghini,Urus Performante V8 4.0 666  * TVA,,01/2024,"Couleur extérieure: Noir, Nombre de portes: 4/5",490 kW (666 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
Mercedes-Benz,AMG GT BLACK SERIES / Track Pack,,05/2022,"Couleur extérieure: Gris, Nombre de portes: 2/3",537 kW (730 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
McLaren,750S*Lift*Bowers&Wilkins*360° Cam*Sport Exhaust,,08/2023,Couleur extérieure: Argenté,552 kW (751 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Mercedes-Benz,AMG GT Coupe Black Series *1st Hand*,,06/2022,"Couleur extérieure: Orange, Nombre de portes: 2/3",537 kW (730 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Lamborghini,Huracán Sterrato,,12/2023,"Couleur extérieure: Vert, Nombre de portes: 2/3",449 kW (610 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Lamborghini,Aventador S Roadster*Full Carbon*Lift*Serviced,,04/2019,"Couleur extérieure: Noir, Nombre de portes: 2/3",544 kW (740 Ch DIN),"Cabriolet / Roadster, Essence, Boîte manuelle",,
Aston,Martin DB4 Serie II Sports Saloon,,05/1960,"Couleur extérieure: Gris, Nombre de portes: 2/3",15 kW (20 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Porsche,911 Sport Classic,,04/2010,"Couleur extérieure: Gris, Nombre de portes: 2/3",300 kW (408 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Ferrari,SF90 STRADALE 4.0 V8 780 CH PHEV,,10/2021,"Couleur extérieure: Gris, Nombre de portes: 2/3",574 kW (780 Ch DIN),"Coupé Sport, Autre, Boîte automatique",,
Ferrari,575 MARANELLO V12 Superamerica F1,,06/2005,Nombre de portes: 2/3,397 kW (540 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Lamborghini,Aventador LP 750-4 Superveloce - Carbon -SV Pack,,02/2016,"Couleur extérieure: Orange, Nombre de portes: 2/3",552 kW (751 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Ferrari,Purosangue V12 725  DCT 4WD,,07/2024,"Couleur extérieure: Bleu, Nombre de portes: 4/5",533 kW (725 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
Lamborghini,Urus 4.0 V8 Performante,,07/2024,"Couleur extérieure: Gris, Nombre de portes: 4/5",490 kW (666 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
Ruf,"BTR 3.4L - huge service by RUF, full history",,12/1979,"Couleur extérieure: Rouge, Nombre de portes: 2/3",268 kW (364 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
McLaren,765LT - Senna - Clubsport - Lift - Carbon -Elite,,06/2021,"Couleur extérieure: Blanc, Nombre de portes: 2/3",563 kW (765 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Ferrari,812 gts 6.5 V12 800CH -,,12/2020,"Couleur extérieure: Gris, Nombre de portes: 2/3",588 kW (799 Ch DIN),"Cabriolet / Roadster, Essence, Boîte manuelle",,
Ferrari,812 6.5 V12 GTS DCT F1,,09/2021,Nombre de portes: 2/3,588 kW (799 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Aston,Martin V12 Vantage Roadster*New Car*No Registration,,50 km,"Couleur extérieure: Argenté, Nombre de portes: 2/3",515 kW (700 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Ferrari,812 gts 6.5 V12 800CH .,,09/2021,"Couleur extérieure: Bleu, Nombre de portes: 2/3",588 kW (799 Ch DIN),"Cabriolet / Roadster, Essence, Boîte manuelle",,
Aston,Martin V12 Vantage Roadster*1/254*VAT Deductible,,02/2023,"Couleur extérieure: Argenté, Nombre de portes: 2/3",515 kW (700 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Ferrari,812 gts 6.5 V12 800CH -,,09/2020,"Couleur extérieure: Gris, Nombre de portes: 2/3",588 kW (799 Ch DIN),"Cabriolet / Roadster, Essence, Boîte manuelle",,
Ferrari,812 6.5 V12 GTS DCT F1,,05/2021,Nombre de portes: 2/3,588 kW (799 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Porsche,997 GT3 RS 4.0 (Limited Edition 1/600),,07/2011,Nombre de portes: 2/3,368 kW (500 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Rolls-Royce,Spectre - STOCK/MANDARIN/MY25,,10 km,"Couleur extérieure: Noir, Nombre de portes: 2/3",430 kW (585 Ch DIN),"Coupé Sport, Electrique, Boîte automatique",,
Ferrari,812 gts 6.5 V12 800CH,,07/2020,"Couleur extérieure: Gris, Nombre de portes: 2/3",588 kW (799 Ch DIN),"Cabriolet / Roadster, Essence, Boîte manuelle",,
Ferrari,296 GTS,,01/2025,Couleur extérieure: Vert,,"Cabriolet / Roadster, Essence",,
Porsche,911 Carrera RS 2.7L Touring - first series,,02/1973,"Couleur extérieure: Orange, Nombre de portes: 2/3",154 kW (209 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Porsche,356 Carrera 2 GS,,06/1962,"Couleur extérieure: Beige, Nombre de portes: 2/3",96 kW (131 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Ferrari,812 gts 6.5 V12 800CH,,08/2022,"Couleur extérieure: Gris, Nombre de portes: 2/3",588 kW (799 Ch DIN),"Cabriolet / Roadster, Essence, Boîte manuelle",,
Porsche,997 Sport Classic *1st PAINT*,,04/2010,"Couleur extérieure: Gris, Nombre de portes: 2/3",300 kW (408 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Lamborghini,LM002 INJECTION V12 * COLLECTOR 1/60,,12/1992,"Couleur extérieure: Noir, Nombre de portes: 4/5",331 kW (450 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte manuelle",,
Ferrari,812 gts 6.5 V12 800CH -,,05/2021,"Couleur extérieure: Gris, Nombre de portes: 2/3",588 kW (799 Ch DIN),"Cabriolet / Roadster, Essence, Boîte manuelle",,
Ferrari,812 gts 6.5 V12 800CH Tailor made,,05/2021,"Couleur extérieure: Bleu, Nombre de portes: 2/3",588 kW (799 Ch DIN),"Cabriolet / Roadster, Essence, Boîte manuelle",,
Ferrari,SF90 STRADALE 4.0 V8 780 CH PHEV -,,12/2021,"Couleur extérieure: Gris, Nombre de portes: 2/3",574 kW (780 Ch DIN),"Coupé Sport, Autre, Boîte automatique",,
Bentley,Continental GT W12 6.0 659 CH BVA Le Mans,,10/2023,"Couleur extérieure: Vert, Nombre de portes: 2/3",485 kW (659 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Ferrari,812 GTS V12  - XPEL COMPLET - NERO DAYTONA,,10/2022,"Couleur extérieure: Noir, Nombre de portes: 2/3",,"Cabriolet / Roadster, Essence, Boîte automatique",,
Aston,Martin DBS Volante 770 Ultimate*New*1 OF 199,,12/2023,"Couleur extérieure: Noir, Nombre de portes: 2/3",566 kW (770 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Aston,Martin DBS Ultimate 1 of 300 - Q Specs - Ultimate Quilt,,07/2023,"Couleur extérieure: Prune, Nombre de portes: 2/3",566 kW (770 Ch DIN),"Coupé Sport, Autre, Boîte automatique",,
Porsche,997.2 GT3 RS 4.0 500 * ORIGINE FRANCE,,07/2011,"Couleur extérieure: Blanc, Nombre de portes: 2/3",368 kW (500 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Ferrari,"Scuderia Spider 16M - 9 350 kms, Xpel, 1 of 499",,07/2009,"Couleur extérieure: Gris, Nombre de portes: 2/3",375 kW (510 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Ferrari,812 GTS Tailor Made Agnelli - 1 450 kms/1st hand,,12/2023,"Couleur extérieure: Argenté, Nombre de portes: 2/3",588 kW (799 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Ferrari,SF90 Spider,,12/2022,Nombre de portes: 2/3,736 kW (1 001 Ch DIN),"Cabriolet / Roadster, Hybride (essence/électricité), Boîte automatique",,
McLaren,765LT Spider - MSO - Full Carbon - Lift,,05/2023,"Couleur extérieure: Bleu, Nombre de portes: 2/3",563 kW (765 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
McLaren,765LT Spider - Full Carbon - Lift - PPF,,03/2023,"Couleur extérieure: Rouge, Nombre de portes: 2/3",563 kW (765 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Ferrari,SF90 Spider*Carbon Exterior*Lift*Racing Seats,,02/2023,"Couleur extérieure: Rouge, Nombre de portes: 2/3",735 kW (999 Ch DIN),"Cabriolet / Roadster, Hybride (essence/électricité), Boîte automatique",,
Ferrari,SF90 Spider*Ext. Carbon*Racing Seats*Lift,,12/2022,"Couleur extérieure: Argenté, Nombre de portes: 2/3",736 kW (1 001 Ch DIN),"Cabriolet / Roadster, Hybride (essence/électricité), Boîte automatique",,
Ferrari,SF90 Stradale Assetto Fiorano*Full Carbon*Racing,,04/2021,"Couleur extérieure: Rouge, Nombre de portes: 2/3",735 kW (999 Ch DIN),"Coupé Sport, Hybride (essence/électricité)",,
Lamborghini,Aventador Ultimae (1 of 350) 6.5 V12 - 780ch,,03/2022,"Couleur extérieure: Rouge, Nombre de portes: 2/3",574 kW (780 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Lamborghini,Diablo Roadster 5.7 * ORIGINE FRANCE,,09/1999,"Couleur extérieure: Gris, Nombre de portes: 2/3",390 kW (530 Ch DIN),"Cabriolet / Roadster, Essence, Boîte manuelle",,
Bugatti,Other,,01/1928,"Couleur extérieure: Bleu, Nombre de portes: 2/3",,"Coupé Sport, Essence, Boîte manuelle",,
Lamborghini,Aventador Ultimae - Lift - Camera - Ad Personam,,03/2022,"Couleur extérieure: Bleu, Nombre de portes: 2/3",574 kW (780 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Ferrari,SF90 SPIDER 4.0 V8 780 CH PHEV -,,10/2022,"Couleur extérieure: Noir, Nombre de portes: 2/3",574 kW (780 Ch DIN),"Cabriolet / Roadster, Autre, Boîte automatique",,
Ferrari,SF90 SPIDER 4.0 V8 780 CH PHEV .,,04/2024,"Couleur extérieure: Bleu, Nombre de portes: 2/3",574 kW (780 Ch DIN),"Cabriolet / Roadster, Autre, Boîte automatique",,
Ferrari,F12 Berlinetta 70 anniversaire,,09/2017,"Couleur extérieure: Argenté, Nombre de portes: 2/3",,"Coupé Sport, Essence, Boîte automatique",,
Lamborghini,Aventador SVJ,,07/2019,"Couleur extérieure: Blanc, Nombre de portes: 2/3",566 kW (770 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Rolls-Royce,Cullinan Black Badge MY 25 /STOCK,,,"Couleur extérieure: Noir, Nombre de portes: 4/5",441 kW (600 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
Ferrari,599 GTB ALONSO EDITION  1 of 40*,,07/2012,"Couleur extérieure: Rouge, Nombre de portes: 2/3",456 kW (620 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Lamborghini,Aventador LP780-4 Ultimae 1/350,,05/2022,"Couleur extérieure: Noir, Nombre de portes: 2/3",,"Coupé Sport, Essence, Boîte automatique",,
Ferrari,488 Pista Spider - Full Carbon - Lift - Historic,,06/2021,Couleur extérieure: Jaune,,"Coupé Sport, Essence",,
Ferrari,Purosangue*Full Carbon Exterior,,05/2025,"Couleur extérieure: Gris, Nombre de portes: 4/5",533 kW (725 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
Lamborghini,Aventador SVJ Roadster*Capristo Exhaust,,05/2020,"Couleur extérieure: Blanc, Nombre de portes: 2/3",566 kW (770 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Lamborghini,Aventador LP 780-4 Ultimae*1st Hand*On Stock,,06/2022,"Couleur extérieure: Gris, Nombre de portes: 2/3",574 kW (780 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Mercedes-Benz,SLS AMG BLACK SERIES - Like New - Carbon,,11/2013,"Couleur extérieure: Blanc, Nombre de portes: 2/3",435 kW (591 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Lamborghini,Revuelto 6.5 V12 - Full Carbon - Lift - Display,,10/2024,"Couleur extérieure: Noir, Nombre de portes: 2/3",747 kW (1 016 Ch DIN),"Coupé Sport, Hybride (essence/électricité), Boîte automatique",,
Ferrari,"Purosangue V12 DCT 4WD - 500 kms, full carbon",,12/2024,"Couleur extérieure: Gris, Nombre de portes: 4/5",533 kW (725 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
Ford,GT - Blue Liquid - Carbon - Camera - Like New,,06/2023,"Couleur extérieure: Bleu, Nombre de portes: 2/3",476 kW (647 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Ferrari,"599 GTO - 23 350 kms, serviced",,10/2010,"Couleur extérieure: Argenté, Nombre de portes: 2/3",493 kW (670 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Ferrari,599 GTB FIORANO GTO V12 6.0 670CH F1,,06/2010,Nombre de portes: 2/3,493 kW (670 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Ford,GT Carbon Series,,04/2025,Nombre de portes: 2/3,463 kW (630 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Ford,GT,,55 km,"Couleur extérieure: Gris, Nombre de portes: 2/3",,"Coupé Sport, Essence, Boîte automatique",,
Ferrari,"599 GTO - Blu Scozia, 17 000 kms, Classiche, PPF",,09/2010,"Couleur extérieure: Bleu, Nombre de portes: 2/3",493 kW (670 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Ford,"GT Edition Heritage Alan Mann ""PRICE ON REQUEST""",,11/2023,Nombre de portes: 2/3,,"Coupé Sport, Essence, Boîte automatique",,
Aston,Martin Vanquish Zagato 5.9L V12 604*70/99,,10/2017,Couleur extérieure: Argenté,444 kW (604 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Ferrari,812 COMPETIZIONE 6.5 V12 830CH,,09/2023,"Couleur extérieure: Gris, Nombre de portes: 2/3",610 kW (829 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Porsche,Carrera GT - Full Serviced - Perfect Conditions,,05/2006,"Couleur extérieure: Gris, Nombre de portes: 2/3",450 kW (612 Ch DIN),"Cabriolet / Roadster, Essence, Boîte manuelle",,
McLaren,Senna - Full Visible Carbon - 1 of 1 - MSO,,03/2019,"Couleur extérieure: Vert, Nombre de portes: 2/3",,"Coupé Sport, Essence, Boîte automatique",,
Ferrari,812 COMPETIZIONE 6.5 V12 830CH 830 CV,,11/2022,Nombre de portes: 2/3,610 kW (829 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Ferrari,812 Competizione 6.5 V12 830CH,,12/2022,"Couleur extérieure: Gris, Nombre de portes: 2/3",610 kW (829 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Porsche,918 Spyder LIQUID METAL SILVER **ONLY 865 KMS**,,11/2015,Nombre de portes: 2/3,652 kW (886 Ch DIN),"Cabriolet / Roadster, Hybride (essence/électricité), Boîte automatique",,
Ferrari,599 SA Aperta - Full Ferrari Service History,,06/2011,"Couleur extérieure: Noir, Nombre de portes: 2/3",493 kW (670 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Ferrari,LaFerrari,,06/2015,"Couleur extérieure: Rouge, Nombre de portes: 2/3",684 kW (930 Ch DIN),"Coupé Sport, Hybride (essence/électricité), Boîte automatique",,
Bugatti,Chiron Sport 110 ans,,08/2019,"Couleur extérieure: Bleu, Nombre de portes: 2/3",1 103 kW (1 500 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Bugatti,"Divo ""PRICE ON REQUEST""",,06/2021,Nombre de portes: 2/3,,"Coupé Sport, Essence, Boîte automatique",,
Maserati,"MC12 ""PRICE ON REQUEST""",,05/2006,,,"Cabriolet / Roadster, Essence, Boîte automatique",,
